79605554444	2017-01-08 23:59:59	Сатурн	Краснодар	Анапа	0
79005553333	2017-01-08 23:59:59	Рутакси	-99	Хабаровский край	1
79105553333	2017-01-08 23:59:59	Рутакси + Минимум	-99	Хабаровский край	1
79005555555	2017-01-06 00:00:00	Максим	-99	Сочи	1
79005555555	2017-01-06 01:01:00	Максим	-99	Сочи	1
79105555555	2017-01-06 00:00:00	Максим + Поехали	-99	Сочи	1
79105555555	2017-01-06 01:01:00	Максим + Поехали	-99	Сочи	1
79605556666	2017-01-05 00:00:00	Зебра	Пермь	Пермский край	0
79605556666	2017-01-05 01:00:01	Зебра	Пермь	Пермский край	0
79605556666	2017-01-05 04:00:01	Зебра	Пермь	Пермский край	0
79605557777	2017-01-05 00:00:00	Максим	Волгоград	Волгоградская область	0
79605557777	2017-01-05 00:59:59	Максим	Волгоград	Волгоградская область	0
79605557777	2017-01-05 00:00:01	Сатурн	Волгоград	Волгоградская область	0
79005551111	2017-01-05 00:00:00	Gett	-99	Воронежская область	1
79005551111	2017-01-05 00:40:00	Gett	-99	Воронежская область	1
79005551111	2017-01-05 01:30:00	Gett	-99	Воронежская область	1
79005551111	2017-01-05 02:01:00	Gett	-99	Воронежская область	1
79105551111	2017-01-05 00:00:00	Gett	-99	Воронежская область	1
79105551111	2017-01-05 00:40:00	Gett	-99	Воронежская область	1
79105551111	2017-01-05 01:30:00	Gett	-99	Воронежская область	1
79105551111	2017-01-05 02:01:00	Gett	-99	Воронежская область	1
79005556666	2017-01-03 12:00:00	Uber	-99	Московская область	1
79005556666	2017-01-03 13:00:00	Uber	-99	Московская область	1
79005556666	2017-01-03 14:00:00	Uber	-99	Московская область	1
79105556666	2017-01-03 12:00:00	Uber	-99	Московская область	1
79105556666	2017-01-03 13:00:00	Uber	-99	Московская область	1
79105556666	2017-01-03 14:00:00	Uber	-99	Московская область	1
79605553333	2017-01-02 00:00:00	Максим	Москва	Московская область	0
79005552222	2017-01-02 00:00:00	Рутакси	-99	Сочи	1
79105552222	2017-01-02 00:00:00	Рутакси + Минимум	-99	Сочи	1
